"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
151598,"SAMSUNG ELECTRONICS","QA85Q6*CA*","Vietnam",214.783,"LCD (LED)",173,"Available",5.5,84.5600671,"85.0"
151602,"SAMSUNG ELECTRONICS","QA65QN90CAW","Vietnam",163.897,"LCD (LED)",155,"Available",4,64.5262489,"65.0"
151602,"SAMSUNG ELECTRONICS","QA65QN90CAS","Vietnam",163.897,"LCD (LED)",155,"Available",4,64.5262489,"65.0"
151602,"SAMSUNG ELECTRONICS","QA65QN90CA*","Vietnam",163.897,"LCD (LED)",155,"Available",4,64.5262489,"65.0"
151603,"SAMSUNG ELECTRONICS","QA75QN90CAW","Vietnam",189.338,"LCD (LED)",186,"Available",4.5,74.5423706,"75.0"
151603,"SAMSUNG ELECTRONICS","QA75QN90CAS","Vietnam",189.338,"LCD (LED)",186,"Available",4.5,74.5423706,"75.0"
151603,"SAMSUNG ELECTRONICS","QA75QN90CA*","Vietnam",189.338,"LCD (LED)",186,"Available",4.5,74.5423706,"75.0"
151606,"SAMSUNG ELECTRONICS","UA43CU7000S","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151606,"SAMSUNG ELECTRONICS","UA43CU7100S","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151606,"SAMSUNG ELECTRONICS","UA43CU7*00S","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151607,"SAMSUNG ELECTRONICS","UA50CU7000S","Vietnam",125.727,"LCD (LED)",80,"Available",4.5,49.4987199,"50.0"
151607,"SAMSUNG ELECTRONICS","UA50CU7100S","Vietnam",125.727,"LCD (LED)",80,"Available",4.5,49.4987199,"50.0"
151607,"SAMSUNG ELECTRONICS","UA50CU7*00S","Vietnam",125.727,"LCD (LED)",80,"Available",4.5,49.4987199,"50.0"
151610,"SAMSUNG ELECTRONICS","UA55CU7000S","Vietnam",138.783,"LCD (LED)",81,"Available",5.5,54.63886709999999,"55.0"
151610,"SAMSUNG ELECTRONICS","UA55CU7100S","Vietnam",138.783,"LCD (LED)",81,"Available",5.5,54.63886709999999,"55.0"
151610,"SAMSUNG ELECTRONICS","UA55CU7*00S","Vietnam",138.783,"LCD (LED)",81,"Available",5.5,54.63886709999999,"55.0"
151613,"SAMSUNG ELECTRONICS","UA65CU7000S","Vietnam",163.897,"LCD (LED)",116,"Available",5,64.5262489,"65.0"
151613,"SAMSUNG ELECTRONICS","UA65CU7100S","Vietnam",163.897,"LCD (LED)",116,"Available",5,64.5262489,"65.0"
151613,"SAMSUNG ELECTRONICS","UA65CU7*00S","Vietnam",163.897,"LCD (LED)",116,"Available",5,64.5262489,"65.0"
151615,"SAMSUNG ELECTRONICS","UA75CU7000S","Vietnam",189.338,"LCD (LED)",139,"Available",5.5,74.5423706,"75.0"
